,Year,Fertility Rate,Number of Secondary Schools,Number of Primary Schools,Tax Revenue,Total Labour Force,Total Employed,Total Unemployed,Total Unemployment Rate,Resident Unemployment Rate,Number of Long Term Care Facilities,Education Expenditure,Healthcare Expenditure,Population Growth
0,0.0,1.0,1.0,0.223214286,0.0,0.0,0.0,0.16097561,0.588235294,0.44,0.086956522,0.5459899176246293,0.0,0.7690516447582174
1,0.058823529411764705,0.785714286,0.98989899,0.0,0.458393188,0.100163779,0.109614047,0.0,0.294117647,0.24,0.086956522,0.5817304480541837,0.008555999719475418,0.8782625297321242
2,0.11764705882352941,0.571428571,0.97979798,0.25,0.891099664,0.298077752,0.306241307,0.055284553,0.235294118,0.24,0.130434783,0.9346187248518733,0.016200294550810016,1.0
3,0.17647058823529413,0.511904762,0.96969697,0.125,0.520706452,0.37574347,0.347792072,0.743089431,1.0,1.0,0.0,0.5108506297630488,0.021179605862963743,0.7571004233873553
4,0.23529411764705882,0.452380952,0.95959596,0.1875,0.442361,0.467028704,0.470618915,0.169105691,0.235294118,0.28,0.086956522,0.3422303529859145,0.028964162984781543,0.6260283360089065
5,0.29411764705882354,0.404761905,0.909090909,0.25,0.59057018,0.554262564,0.559718359,0.146341463,0.176470588,0.2,0.173913043,0.8710206221061989,0.045444982116557966,0.6590113125012227
6,0.35294117647058826,0.345238095,0.909090909,0.3125,0.81061369,0.661753297,0.668376217,0.141463415,0.117647059,0.12,0.173913043,1.0,0.0977628164667929,0.6978328006902381
7,0.4117647058823529,0.285714286,0.909090909,0.75,0.667259594,0.732350659,0.736352573,0.2,0.117647059,0.2,0.260869565,0.8698541087478223,0.17497720737779648,0.609959316203652
8,0.47058823529411764,0.226190476,0.909090909,0.9375,0.799442748,0.807430394,0.812239221,0.2,0.117647059,0.12,0.217391304,0.5647517690406327,0.2657970404656708,0.5761547568565093
9,0.5294117647058824,0.166666667,0.909090909,0.75,0.606346788,0.876217567,0.878129346,0.263414634,0.117647059,0.16,0.47826087,0.39980061357574886,0.3644014306753629,0.5643485019052153
10,0.5882352941176471,0.119047619,0.707070707,0.9375,0.685057122,0.929833635,0.925069541,0.396747967,0.235294118,0.28,0.391304348,0.3392601119236165,0.4112490356967529,0.576048973616979
11,0.6470588235294118,0.05952381,0.353535354,0.9375,1.0,0.916214119,0.90777121,0.463414634,0.294117647,0.32,0.565217391,0.41873718505424035,0.44329896907216493,0.44869337927488295
12,0.7058823529411765,0.0,0.151515152,1.0,0.548051909,0.93224722,0.929676634,0.354471545,0.176470588,0.2,0.52173913,0.45598853014178015,0.4684059190686584,0.48884452927921934
13,0.7647058823529411,0.083333333,0.0,0.5625,0.612815736,0.989914663,0.97870306,0.526829268,0.352941176,0.32,0.739130435,0.3886133907511421,0.5402903429413002,0.559913790547854
14,0.8235294117647058,0.166666667,0.0,0.625,0.435774383,0.965261615,0.928546592,1.0,0.823529412,0.72,0.739130435,0.0,0.8250929237674451,0.4064992561843072
15,0.8823529411764706,0.25,0.0,0.6875,0.599381645,0.873631583,0.849878303,0.743089431,0.588235294,0.48,0.869565217,0.07534545753531653,0.8150641699978961,0.0
16,0.9411764705882353,0.333333333,0.0,0.625,0.599381645,1.0,1.0,0.318699187,0.117647059,0.08,1.0,0.07032482515146685,0.9075671505715688,0.7879342971515851
17,1.0,0.416666667,0.0,0.625,0.599381645,1.0,1.0,0.286178862,0.0,0.0,1.0,0.06530419276761716,1.0,0.3471156320114432
